anno,coefficiente_2025
1861,11324.851
1862,11256.215
1863,11593.48
1864,11920.895
1865,12123.208
1866,11997.904
1867,11710.438
1868,11256.215
1869,11188.407
1870,11028.952
1871,10698.592
1872,9466.236
1873,8929.209
1874,8719.603
1875,10182.432
1876,9623.189
1877,9249.38
1878,9603.286
1879,9723.956
1880,9380.179
1881,10028.486
1882,10272.542
1883,10613.003
1884,10823.284
1885,10588.8
1886,10600.888
1887,10625.146
1888,10493.082
1889,10318.197
1890,9963.924
1891,9996.101
1892,10082.929
1893,10306.745
1894,10352.706
1895,10410.737
1896,10457.632
1897,10481.239
1898,10410.737
1899,10576.74
1900,10528.773
1901,10516.849
1902,10588.8
1903,10283.918
1904,10160.151
1905,10149.047
1906,9963.924
1907,9514.731
1908,9613.227
1909,9889.646
1910,9623.189
1911,9389.664
1912,9304.988
1913,9286.378
1914,9286.378
1915,8678.858
1916,6935.308
1917,4903.05
1918,3516.235
1919,3463.774
1920,2635.929
1921,2228.018
1922,2241.462
1923,2254.522
1924,2177.856
1925,1938.701
1926,1797.247
1927,1965.787
1928,2121.146
1929,2087.765
1930,2156.113
1931,2386.63
1932,2450.878
1933,2604.874
1934,2746.636
1935,2708.188
1936,2517.998
1937,2300.316
1938,2136.273
1939,2045.908
1940,1753.139
1941,1515.154
1942,1310.895
1943,781.682
1944,175.898
1945,89.309
1946,75.674
1947,46.695
1948,44.102
1949,43.464
1950,44.057
1951,40.156
1952,38.519
1953,37.785
1954,36.795
1955,35.793
1956,34.095
1957,33.448
1958,31.921
1959,32.053
1960,31.225
1961,30.338
1962,28.866
1963,26.848
1964,25.345
1965,24.29
1966,23.813
1967,23.346
1968,23.052
1969,22.423
1970,21.338
1971,20.322
1972,19.241
1973,17.433
1974,14.595
1975,12.456
1976,10.69
1977,9.052
1978,8.05
1979,6.955
1980,5.741
1981,4.837
1982,4.157
1983,3.615
1984,3.27
1985,3.011
1986,2.838
1987,2.712
1988,2.584
1989,2.424
1990,2.285
1991,2.147
1992,2.039
1993,1.955
1994,1.881
1995,1.785
1996,1.718
1997,1.689
1998,1.659
1999,1.633
2000,1.592
2001,1.551
2002,1.514
2003,1.478
2004,1.449
2005,1.425
2006,1.397
2007,1.373
2008,1.33
2009,1.32
2010,1.3
2011,1.266
2012,1.229
2013,1.215
2014,1.213
2015,1.214
2016,1.215
2017,1.202
2018,1.189
2019,1.183
2020,1.187
2021,1.165
2022,1.078
2023,1.023
2024,1.014
2025,1.0
