anno,prezzo_medio,iva_media,accisa_media,netto_medio
1996,924.73,147.65,527.78,249.3
1997,942.23,152.0,527.96,262.27
1998,909.87,151.65,527.96,230.26
1999,955.06,159.18,539.05,256.82
2000,1080.73,180.12,521.78,378.83
2001,1051.92,175.32,523.67,352.93
2002,1045.57,174.26,541.84,329.48
2003,1057.98,176.33,541.84,339.81
2004,1124.8,187.47,558.46,378.88
2005,1118.54,203.2,563.12,452.87
2006,1283.7,213.95,564.0,505.75
2007,1189.14,216.31,564.0,517.55
2008,1379.19,229.86,562.37,586.95
2009,1231.56,205.26,564.0,462.3
2010,1362.9,227.15,564.0,571.75
2011,1554.71,262.26,597.22,695.23
2012,1786.22,310.0,716.85,759.36
2013,1600.58,306.43,728.4,714.01
2014,1712.69,308.85,730.4,673.44
2015,1534.51,276.72,728.4,529.4
2016,1443.65,260.33,728.4,454.92
2017,1528.98,275.72,728.4,524.86
2018,1599.23,288.39,728.4,582.44
2019,1574.0,283.84,728.4,561.76
2020,1431.32,258.11,728.4,444.82
2021,1625.04,293.04,728.4,603.6
2022,1664.09,326.64,541.84,942.88
2023,1865.32,336.37,728.4,800.55
2024,1821.38,328.45,728.4,764.54
2025,1733.14,312.53,718.84,701.76
2026,1788.96,322.6,614.6,851.75
