Year,CPI_Index,Inflation_Rate_YoY
1861,8.5,6.00%
1862,9.8,14.80%
1863,12.2,24.80%
1864,15.2,24.60%
1865,15.8,3.90%
1866,15.4,-2.50%
1867,14.3,-7.10%
1868,13.7,-4.20%
1869,13.2,-3.60%
1870,12.6,-4.50%
1871,11.9,-5.60%
1872,11.9,0.00%
1873,11.7,-1.70%
1874,11.2,-4.30%
1875,10.6,-5.40%
1876,10.3,-2.80%
1877,10.1,-1.90%
1878,9.6,-5.00%
1879,9.3,-3.10%
1880,9.6,3.20%
1881,9.6,0.00%
1882,9.6,0.00%
1883,9.5,-1.00%
1884,9.3,-2.10%
1885,9.1,-2.20%
1886,8.9,-2.20%
1887,9,1.10%
1888,9,0.00%
1889,8.8,-2.20%
1890,8.7,-1.10%
1891,8.7,0.00%
1892,8.7,0.00%
1893,8.6,-1.10%
1894,8.3,-3.50%
1895,8.1,-2.40%
1896,8.1,0.00%
1897,8,-1.20%
1898,8,0.00%
1899,8,0.00%
1900,8.3,3.80%
1901,8.4,1.20%
1902,8.5,1.20%
1903,8.7,2.40%
1904,8.8,1.10%
1905,8.7,-1.10%
1906,8.9,2.30%
1907,9.3,4.50%
1908,9.1,-2.20%
1909,9.2,1.10%
1910,9.6,4.30%
1911,9.6,0.00%
1912,9.8,2.10%
1913,9.9,1.00%
1914,10.1,1.00%
1915,10.2,1.00%
1916,10.9,7.90%
1917,12.8,17.40%
1918,15.1,18.00%
1919,17.3,14.60%
1920,20,15.60%
1921,17.9,-10.50%
1922,16.8,-6.10%
1923,17.1,1.80%
1924,17.1,0.00%
1925,17.5,2.30%
1926,17.7,1.10%
1927,17.4,-1.70%
1928,17.1,-1.70%
1929,17.1,0.00%
1930,16.7,-2.30%
1931,15.2,-9.00%
1932,13.7,-9.90%
1933,13,-5.10%
1934,13.4,3.10%
1935,13.7,2.20%
1936,13.9,1.50%
1937,14.4,3.60%
1938,14.1,-2.10%
1939,13.9,-1.40%
1940,14,0.70%
1941,14.7,5.00%
1942,16.3,10.90%
1943,17.3,6.10%
1944,17.6,1.70%
1945,18,2.30%
1946,19.5,8.30%
1947,22.3,14.40%
1948,24.1,8.10%
1949,23.8,-1.20%
1950,24.1,1.30%
1951,26,7.90%
1952,26.5,1.90%
1953,26.7,0.80%
1954,26.9,0.70%
1955,26.8,-0.40%
1956,27.2,1.50%
1957,28.1,3.30%
1958,28.9,2.80%
1959,29.1,0.70%
1960,29.6,1.70%
1961,29.9,1.00%
1962,30.2,1.00%
1963,30.6,1.30%
1964,31,1.30%
1965,31.5,1.60%
1966,32.4,2.90%
1967,33.4,3.10%
1968,34.8,4.20%
1969,36.7,5.50%
1970,38.8,5.70%
1971,40.5,4.40%
1972,41.8,3.20%
1973,44.4,6.20%
1974,49.3,11.00%
1975,53.8,9.10%
1976,56.9,5.80%
1977,60.6,6.50%
1978,65.2,7.60%
1979,72.6,11.30%
1980,82.4,13.50%
1981,90.9,10.30%
1982,96.5,6.20%
1983,99.6,3.20%
1984,103.9,4.30%
1985,107.6,3.60%
1986,109.6,1.90%
1987,113.6,3.60%
1988,118.3,4.10%
1989,124,4.80%
1990,130.7,5.40%
1991,136.2,4.20%
1992,140.3,3.00%
1993,144.5,3.00%
1994,148.2,2.60%
1995,152.4,2.80%
1996,156.9,2.90%
1997,160.5,2.30%
1998,163,1.60%
1999,166.6,2.20%
2000,172.2,3.40%
2001,177.1,2.80%
2002,179.9,1.60%
2003,184,2.30%
2004,188.9,2.70%
2005,195.3,3.40%
2006,201.6,3.20%
2007,207.3,2.80%
2008,215.3,3.80%
2009,214.5,-0.40%
2010,218.1,1.60%
2011,224.9,3.20%
2012,229.6,2.10%
2013,233,1.50%
2014,236.7,1.60%
2015,237,0.10%
2016,240,1.30%
2017,245.1,2.10%
2018,251.1,2.40%
2019,255.7,1.80%
2020,258.8,1.20%
2021,271,4.70%
2022,292.7,8.00%
2023,304.7,4.10%
2024,313.7,2.90%
2025,321.9,2.60%
